,Date,Peak Generation (MW),Lowest Generation (MW),Energy Recorded(Mwh),Generation at 6:00hrs (MW),Highest System Frequency (Hz),Lowest System Frequency (Hz),Highest Voltage Recorded (kV),Lowest Voltage Recorded (kV)
296,2020-11-10,5044.5,3745.6,105584.63,4474.3,50.58,49.3,351.0,300.0
297,2020-11-11,5190.7,3728.9,104073.59,4493.7,50.65,49.0,354.0,308.0
298,2020-11-12,5286.0,3722.8,108373.08,4527.4,50.572,49.18,353.0,299.0
299,2020-11-13,4782.1,3030.4,98829.02,4459.6,50.98,48.7,351.0,290.0
300,2020-11-14,5232.6,3314.6,97368.89,3473.3,50.87,49.63,351.0,300.0
301,2020-11-15,5480.5,3416.5,103825.3,4183.6,50.807,49.495,355.0,300.0
302,2020-11-16,5343.9,3798.8,107849.68,4581.3,50.602,49.542,381.0,270.0
303,2020-11-17,5517.2,3904.0,110291.71,4680.7,50.577,49.511,351.0,300.0
304,2020-11-18,4801.8,3988.3,107411.01,4801.8,50.417,49.24,349.0,280.0
305,2020-11-19,4695.5,3961.7,104417.63,4557.5,50.54,49.505,350.0,300.0
306,2020-11-20,4823.5,4088.5,106813.29,4642.3,50.47,49.38,352.0,300.0
307,2020-11-21,4893.0,4137.2,107547.58,4544.4,50.4,49.45,349.0,300.0
308,2020-11-22,4983.7,3989.5,106944.22,4553.5,50.41,49.42,350.0,300.0
309,2020-11-23,5273.9,4075.2,111169.39,4744.8,50.43,49.24,349.0,280.0
310,2020-11-24,5205.1,4206.1,112805.31,4805.6,50.56,49.0,344.0,300.0
311,2020-11-25,5140.0,4098.5,108606.75,4867.5,50.422,49.13,347.0,300.0
312,2020-11-26,5186.0,3958.2,109686.81,4830.2,50.418,49.0,350.0,300.0
313,2020-11-27,5126.2,3957.0,109569.53,4620.2,50.46,49.59,346.0,288.0
314,2020-11-28,5200.1,3923.0,107591.72,4400.1,50.45,49.41,353.0,300.0
315,2020-11-29,4475.3,54.0,76564.16,4469.9,51.394,47.25,357.0,287.0
316,2020-11-30,4836.1,3807.3,103964.25,4324.0,50.41,49.76,352.0,300.0
317,2020-12-01,5181.9,4098.4,110174.73,4842.8,50.438,49.663,348.0,300.0
318,2020-12-02,4984.7,4136.7,108436.36,4984.7,50.807,49.526,346.0,297.0
319,2020-12-03,5036.6,3991.5,110605.9,4600.2,50.54,49.47,344.0,295.0
320,2020-12-04,5504.2,4254.1,114218.04,4977.2,50.42,49.27,348.0,298.0
321,2020-12-05,5269.4,4123.2,112741.81,4593.6,50.4,49.54,349.0,300.0
322,2020-12-06,5112.1,4086.7,110585.33,4686.9,50.593,49.44,347.0,285.0
323,2020-12-07,4929.5,3759.9,107616.97,4540.4,50.605,49.49,349.0,280.0
324,2020-12-08,5079.7,3507.7,101480.45,4107.3,50.715,49.32,354.0,300.0
325,2020-12-09,5270.1,4109.9,112146.84,4683.8,50.538,49.538,350.0,300.0
326,2020-12-10,5288.0,4194.9,114605.11,4773.2,50.35,49.49,347.0,300.0
327,2020-12-11,5255.2,4324.9,115067.78,4821.1,50.43,49.3,347.0,300.0
328,2020-12-12,5185.4,4217.1,112457.36,4658.9,50.41,49.65,349.0,300.0
329,2020-12-13,5209.0,3771.6,109139.92,4482.55,50.509,49.61,350.0,300.0
330,2020-12-14,4946.3,3706.0,107934.82,4719.13,50.45,49.01,350.0,300.0
331,2020-12-15,4625.2,3844.0,103772.81,4416.89,50.455,48.9,353.0,300.0
332,2020-12-16,4665.0,3945.18,103909.19,4514.7,50.399,49.3,352.0,300.0
333,2020-12-17,4953.4,4181.7,109776.51,4559.4,50.349,49.378,346.0,300.0
334,2020-12-18,4877.1,4296.2,110902.02,4785.7,50.32,49.55,346.0,300.0
335,2020-12-19,4746.7,4247.4,108330.94,4730.93,50.35,49.2,348.0,300.0
336,2020-12-20,4661.8,4128.5,105312.5,4661.75,50.38,49.13,350.0,300.0
337,2020-12-21,4500.23,4085.98,103487.43,4402.17,50.3,49.34,349.0,300.0
338,2020-12-22,4503.0,3838.6,100897.26,4322.4,50.44,49.35,351.0,300.0
339,2020-12-23,4979.8,4117.7,108328.11,4631.6,50.329,49.474,351.0,300.0
340,2020-12-24,5138.4,4078.5,110298.98,4435.0,50.45,49.46,349.0,300.0
341,2020-12-25,4906.4,3642.3,103474.05,3987.4,50.45,49.4,350.0,300.0
342,2020-12-26,5223.5,3406.7,101791.08,3630.7,50.42,49.42,352.0,302.0
343,2020-12-27,5041.9,3803.1,105146.53,4527.9,50.397,49.34,353.0,300.0
344,2020-12-28,4895.9,3686.1,106600.58,4119.6,50.299,49.452,351.0,300.0
345,2020-12-29,4920.5,3975.1,108168.69,4365.8,50.3,49.44,353.0,300.0
346,2020-12-30,4920.8,3814.5,107440.11,4143.5,50.37,49.446,352.0,300.0
347,2020-12-31,4886.3,3891.3,106385.72,4264.1,50.481,49.485,352.0,300.0
