,Date,Peak Generation (MW),Lowest Generation (MW),Energy Recorded(Mwh),Generation at 6:00hrs (MW),Highest System Frequency (Hz),Lowest System Frequency (Hz),Highest Voltage Recorded (kV),Lowest Voltage Recorded (kV)
59,2020-03-09,4029.8,3484.8,90072.88,3611.0,50.6,49.58,354.0,300.0
60,2020-03-10,3915.1,3639.3,89697.98,3832.9,50.63,49.05,355.0,300.0
61,2020-03-11,3989.1,3325.3,88030.07,3837.2,50.63,49.34,356.0,300.0
62,2020-03-12,4023.1,3113.6,83706.23,3584.8,50.56,49.37,357.0,300.0
63,2020-03-13,3916.3,3466.6,87960.08,3770.0,50.53,49.19,357.0,300.0
64,2020-03-14,4093.5,3389.2,88935.54,3606.0,50.89,49.44,354.0,300.0
65,2020-03-15,4661.3,3834.0,98743.1,4188.6,50.61,49.4,352.0,300.0
66,2020-03-16,4803.8,3809.8,102950.45,4380.1,50.59,49.55,352.0,300.0
67,2020-03-17,4636.9,3564.2,103274.4,4457.2,50.93,49.52,351.0,300.0
68,2020-03-18,4640.5,3634.7,97968.28,3992.1,50.68,49.55,346.0,300.0
69,2020-03-19,4359.5,3456.7,94374.48,3880.6,50.62,49.43,352.0,300.0
70,2020-03-20,4350.8,3622.6,97483.74,4073.7,50.56,49.63,354.0,300.0
71,2020-03-21,4474.4,3777.1,96062.03,3942.4,50.83,49.69,351.0,300.0
72,2020-03-22,4421.6,3731.1,97457.44,4073.7,50.57,49.51,353.0,300.0
73,2020-03-23,4265.3,3506.5,94164.08,3984.3,50.59,49.65,359.0,300.0
74,2020-03-24,4542.4,2323.8,78875.69,2407.1,50.36,49.45,361.0,300.0
75,2020-03-25,4564.5,3035.7,91777.63,3340.5,50.58,49.15,356.0,300.0
76,2020-03-26,4379.1,3502.4,93968.26,3657.6,50.45,49.43,351.0,300.0
77,2020-03-27,4059.5,3632.1,92237.11,3846.6,50.52,49.55,346.0,280.0
78,2020-03-30,4645.1,3830.0,100610.24,3976.9,50.7,49.61,349.0,300.0
79,2020-03-31,4431.9,3702.0,97980.93,3727.5,50.62,49.92,350.0,300.0
80,2020-04-01,4295.7,2795.4,83684.49,3049.2,50.96,50.01,358.0,258.0
81,2020-04-02,4807.8,3391.3,97988.78,3490.6,50.74,49.64,352.0,280.0
82,2020-04-03,4370.4,3391.7,97728.94,3810.4,50.65,49.82,355.0,300.0
83,2020-04-06,4706.6,2897.8,90573.22,3435.8,51.28,49.65,358.0,290.0
84,2020-04-07,4449.7,3316.7,92358.63,3481.6,50.61,49.57,349.0,300.0
85,2020-04-08,5048.2,3154.9,94602.67,3322.1,50.76,49.58,357.0,300.0
86,2020-04-09,4850.4,3822.3,102842.04,3982.0,50.61,49.71,352.0,300.0
87,2020-04-10,4867.5,3358.9,95443.8,3541.1,50.67,49.54,350.0,280.0
88,2020-04-11,4703.5,3615.0,99476.58,3675.2,50.53,49.63,350.0,280.0
89,2020-04-12,4691.7,3938.8,103159.5,4203.2,50.62,49.73,351.0,295.0
90,2020-04-13,4972.5,4052.5,106634.04,4099.7,50.53,49.69,350.0,300.0
91,2020-04-14,4979.7,4096.5,107963.46,4284.3,50.54,49.69,349.0,290.0
92,2020-04-15,5112.0,4148.2,109822.07,4148.2,50.55,49.7,350.0,300.0
93,2020-04-16,5146.5,4215.6,109251.82,4287.7,50.6,49.76,349.0,300.0
94,2020-04-17,5210.5,4101.7,110660.4,4115.0,50.58,49.66,350.0,300.0
95,2020-04-18,5134.3,3918.1,106220.72,4227.8,50.58,49.98,350.0,300.0
96,2020-04-19,5012.3,3650.0,101433.79,3866.7,50.57,49.88,353.0,300.0
97,2020-04-20,5316.4,3710.1,107107.16,3757.9,50.6,49.73,352.0,300.0
