,index,Name of Affected Feeder,BUSINESS HUB,LGA,Voltage(kV),distances_trs,distances_pp,socioeconomic_vulnerability
59,31,EJIGBOTOWNSHIP11KVFEEDER,EDE,EJIGBO,11,12.950325836154075,51.85295850722194,2.442089
60,32,IROGBO11KV,ILESA,ILESHAEAST,11,7.663910983918651,93.62114710088962,1.69159
61,33,AKEJU11KV,OSOGBO,OSOGBO,11,5.198840545515431,58.955654944205136,1.106082
62,34,OKUKU11KVTOWNSHIPFDR,IKIRUN,ODOOTIN,11,26.35727500336342,99.43747463131109,2.330592
63,35,ILA11KVFDR,IKIRUN,ILA,11,39.99391853625237,119.4503715264345,2.130945
64,36,ILATOWNSHIP11KVFDR,IKIRUN,ILA,11,39.99391853625237,119.4503715264345,2.130945
65,37,ODEOMU,ILEIFE,AYEDADE,11,30.631079615958697,49.6536526035672,2.309215
66,38,OAUTHC11KV,ILEIFE,IFECENTRAL,11,2.1857585724989432,67.82998298012649,1.517216
67,39,OKUKU11KVFDR,IKIRUN,ODOOTIN,11,26.35727500336342,99.43747463131109,2.330592
68,40,IBOKUN11KV,ILESA,OBOKUN,11,12.543236354652638,97.61218133789848,2.582989
69,41,IGBAYE11KVFDR,IKIRUN,ODOOTIN,11,26.35727500336342,99.43747463131109,2.330592
70,42,IKIRUN11KVFDR,"['IKIRUN', 'OSOGBO']",IFELODUN,11,18.21626265243785,94.01357562245542,1.766592
71,43,OBELAWO11KV,OSOGBO,OSOGBO,11,5.198840545515431,58.955654944205136,1.106082
72,44,TOWNSHIP11KVFDR,IKIRUN,IFELODUN,11,18.21626265243785,94.01357562245542,1.766592
73,45,OKEOGBUN11KVFDR,IKIRUN,ILA,11,39.99391853625237,119.4503715264345,2.130945
74,46,IFEODANTOWNSHIP11KVFEEDER,EDE,EJIGBO,11,12.950325836154075,51.85295850722194,2.442089
75,47,GRA11KV,OSOGBO,OSOGBO,11,5.198840545515431,58.955654944205136,1.106082
76,48,MOUNTCARMEL11KV,ILESA,ATAKUNMOSAWEST,11,10.273566814387484,80.3760028965489,2.654399
77,49,EJIGBO11KVFEEDER,EDE,EJIGBO,11,12.950325836154075,51.85295850722194,2.442089
