date,atmosphericpressure (kPa),precipitation (mm),radiation (W/m2),relativehumidity (-),temperature (degrees Celsius),winddirection (degrees),windgusts (m/s),windspeed (m/s)
2019-01-01,99.23217391304348,0.0,167.0,0.5573913043478261,24.63478260869565,122.8695652173913,1.4308695652173915,0.6960869565217392
2019-01-02,99.205,0.0,150.5,0.599375,24.837500000000002,147.91666666666666,1.0945833333333332,0.56875
2019-01-03,99.11166666666666,0.0,149.08333333333334,0.5947083333333333,24.629166666666666,194.95833333333334,0.99125,0.5583333333333333
2019-01-04,99.09333333333332,0.0,149.70833333333334,0.56375,25.545833333333334,174.625,1.1820833333333334,0.6366666666666667
2019-01-05,99.12166666666667,0.0,153.20833333333334,0.5552083333333333,24.8625,126.45833333333333,1.4383333333333335,0.6870833333333333
2019-01-06,99.10541666666667,0.0,149.95833333333334,0.569125,25.129166666666666,142.875,1.5975000000000001,0.745
2019-01-07,99.09708333333333,0.0,127.41666666666667,0.576625,24.895833333333332,154.0,1.0154166666666666,0.535
2019-01-08,99.02,0.0,144.125,0.544125,24.474999999999998,152.0,1.4308333333333334,0.6654166666666667
2019-01-09,98.96499999999999,0.0,145.41666666666666,0.5175416666666667,24.825,166.625,1.06125,0.57125
2019-01-10,98.98791666666666,0.0,121.0,0.6728333333333333,25.849999999999998,179.20833333333334,1.17625,0.6058333333333333
2019-01-11,98.96958333333333,0.0,124.5,0.6890000000000001,27.4875,213.375,0.9583333333333334,0.45916666666666667
2019-01-12,98.92916666666667,0.0,139.08333333333334,0.703375,27.454166666666666,198.875,1.39875,0.68125
2019-01-13,99.0575,0.0,130.91666666666666,0.752625,28.849999999999998,238.66666666666666,1.9179166666666667,0.9595833333333333
2019-01-14,99.14708333333334,0.0,113.5,0.7765,28.15416666666667,250.375,1.7545833333333334,0.8458333333333333
2019-01-15,99.10041666666666,0.0,129.20833333333334,0.7402500000000001,28.583333333333332,256.7083333333333,1.3195833333333333,0.6333333333333333
2019-01-16,99.04291666666667,0.0,126.95833333333333,0.711375,28.204166666666666,259.9166666666667,0.9766666666666667,0.5275
2019-01-17,99.01958333333333,0.0,133.125,0.7402083333333334,28.40416666666667,241.16666666666666,1.3441666666666665,0.65625
2019-01-18,99.06375000000001,0.0,120.25,0.7507083333333333,29.037499999999998,241.58333333333334,1.6733333333333331,0.81
2019-01-19,99.14666666666666,0.0,131.08333333333334,0.7519166666666667,28.458333333333332,253.25,1.48625,0.7645833333333334
2019-01-20,99.205,0.0,129.33333333333334,0.7575833333333333,28.2375,261.0,1.73375,0.835
2019-01-21,99.15833333333335,0.0,142.66666666666666,0.75475,28.03333333333333,249.16666666666666,1.1920833333333334,0.60375
2019-01-22,99.07625,0.0,123.79166666666667,0.7505833333333333,27.291666666666668,254.0,1.2245833333333334,0.6275000000000001
2019-01-23,99.04583333333333,0.0,129.66666666666666,0.777375,28.929166666666664,234.54166666666666,1.83375,0.8766666666666666
2019-01-24,99.05416666666667,0.0,60.916666666666664,0.8572916666666667,26.195833333333336,239.5,1.7654166666666669,0.8775
2019-01-25,99.02999999999999,0.0,149.08333333333334,0.7376666666666667,27.8875,228.625,1.5766666666666669,0.7841666666666667
2019-01-26,99.09041666666667,0.0,133.54166666666666,0.726125,29.233333333333334,254.83333333333334,1.64,0.8708333333333332
2019-01-27,99.07333333333334,0.0,139.5,0.7574583333333332,28.745833333333334,239.83333333333334,1.7779166666666668,0.9
2019-01-28,99.03333333333335,0.0,111.66666666666667,0.8061250000000001,28.016666666666666,246.41666666666666,1.8229166666666667,0.9354166666666667
2019-01-29,98.99874999999999,0.0,117.20833333333333,0.794375,28.3125,246.75,2.0329166666666665,0.97125
2019-01-30,98.98458333333333,0.0,106.20833333333333,0.7320000000000001,28.354166666666668,225.70833333333334,1.7116666666666667,0.8345833333333333
2019-01-31,98.98208333333334,0.0,135.95833333333334,0.7405416666666667,28.766666666666666,221.875,1.4470833333333335,0.7391666666666666
2019-02-01,99.00375000000001,0.0,122.91666666666667,0.7649166666666667,29.116666666666664,243.58333333333334,1.5925,0.8312499999999999
2019-02-02,98.9925,,101.08333333333333,0.8079999999999999,28.616666666666664,239.79166666666666,2.2866666666666666,1.1329166666666668
2019-02-03,98.94583333333333,,136.16666666666666,0.7658333333333333,28.829166666666666,255.91666666666666,1.765,0.8954166666666666
2019-02-04,98.95166666666667,,130.08333333333334,0.7397083333333333,29.125,230.91666666666666,1.825,0.9258333333333333
2019-02-05,99.03083333333332,,153.70833333333334,0.7187916666666667,29.745833333333334,228.95833333333334,1.9529166666666666,1.00875
2019-02-06,98.94041666666668,,132.70833333333334,0.7428333333333333,29.191666666666666,256.6666666666667,1.4400000000000002,0.7420833333333333
2019-02-07,98.84333333333332,,129.04166666666666,0.7534166666666667,29.304166666666664,226.20833333333334,1.5891666666666666,0.8204166666666667
2019-02-08,98.90125,,106.16666666666667,0.80925,28.1125,240.54166666666666,1.4937500000000001,0.8270833333333334
2019-02-09,98.87458333333335,,136.33333333333334,0.678375,28.325,208.66666666666666,1.0570833333333334,0.5558333333333333
2019-02-10,98.85333333333334,,148.625,0.5369166666666666,27.120833333333334,174.45833333333334,1.4533333333333334,0.6833333333333332
2019-02-11,98.86833333333334,,130.20833333333334,0.5085833333333333,25.974999999999998,184.625,1.0804166666666666,0.585
2019-02-12,98.94541666666667,,116.5,0.5099166666666667,26.3,186.125,0.9633333333333334,0.4891666666666667
2019-02-13,99.05166666666666,,124.5,0.6031666666666667,28.2,255.91666666666666,1.3854166666666667,0.6687500000000001
